date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:44	244635/244635	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:51%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/3_Senior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Senior-Room-01_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/3_Senior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Senior-Room-01_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:00:44	432923/432923	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:52%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/4_Family_Roof_Room/__thumbs_1550_855_scale/Family_Bathroom_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/4_Family_Roof_Room/__thumbs_1550_855_scale/Family_Bathroom_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:01:11	219721/219721	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:50%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/2_Junior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Junior-Room-02_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/2_Junior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Junior-Room-02_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:01:18	210150/210150	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:49%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/2_Junior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Junior-Room-01_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/2_Junior_Luxury_Room_Sea_View/__thumbs_1550_855_scale/Junior-Room-01_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:01:29	326265/326265	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:47%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Golf_View_by_night_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Golf_View_by_night_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:01:45	373285/373285	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:46%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Changing_Room_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Changing_Room_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:02:03	281240/281240	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:48%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Sea_View_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Sea_View_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:02:09	365476/365476	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:59%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/6_Presidential_Suite_Sea_View/__thumbs_1550_855_scale/Presidential_Suite-Living_Room_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/6_Presidential_Suite_Sea_View/__thumbs_1550_855_scale/Presidential_Suite-Living_Room_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:02:25	345135/345135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:48%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room-Golf_View_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room-Golf_View_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
14:02:42	357533/357533	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Jul%202016%2012:04:46%20GMT	http://www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Bathroom_th.jpg	C:/Users/AAA/Documents/HTTrack/anh-octopus/www.regnumhotels.com/d/regnum/media/Optimized_images/Rooms/1_Main_Building/1_Luxury_Room/__thumbs_1550_855_scale/Luxury_Room_Bathroom_th.jpg	(from http://www.regnumhotels.com/en/gallery.html)
